2019/03/18 Monday

00:18	新闻365
00:48	探秘天下
01:08	风云百年
01:36	探秘天下
02:02	探秘天下
02:30	新闻365
03:00	天天养生
04:10	探秘天下
05:00	传承
05:15	对话中原
06:00	风云百年
06:28	新闻365
06:59	新闻60分
08:00	河南新闻联播
08:30	探秘天下
10:00	天天养生
11:02	传承
11:18	对话中原
11:59	新闻365
12:30	新闻60分
13:30	传承
13:46	探秘天下
14:10	风云百年
14:40	探秘天下
15:10	天天养生
16:12	探秘天下
16:42	风云百年
17:15	探秘天下
17:37	传承
17:53	天天养生
19:25	新闻365
20:30	探秘天下
22:01	河南新闻联播
23:05	传承
23:50	探秘天下


2019/03/19 Tuesday

00:18	新闻365
00:48	探秘天下
01:08	风云百年
01:36	探秘天下
02:30	新闻365
03:00	天天养生
04:10	探秘天下
05:30	聚焦
06:00	风云百年
06:28	新闻365
06:59	新闻60分
08:00	河南新闻联播
08:30	探秘天下
10:00	天天养生
11:02	聚焦
11:30	探秘天下
11:59	新闻365
12:30	新闻60分
13:30	传承
13:46	探秘天下
14:10	风云百年
14:40	探秘天下
15:10	天天养生
16:12	探秘天下
16:42	风云百年
17:15	探秘天下
17:37	传承
17:53	天天养生
19:25	新闻365
20:10	探秘天下
21:00	新闻60分
22:35	传承
23:20	探秘天下


2019/03/20 Wednesday

00:18	新闻365
00:48	探秘天下
06:00	探秘天下
06:28	新闻365
06:59	新闻60分
08:00	河南新闻联播
08:30	探秘天下
10:00	豫动起来
11:02	聚焦
11:30	探秘天下
11:59	新闻365
12:30	新闻60分
13:30	传承
13:46	探秘天下
14:10	探秘天下
15:10	天天养生
16:12	精彩回顾
17:15	探秘天下
17:53	天天养生
19:25	新闻365
20:30	河南新闻联播
22:01	新闻365
23:22	探秘天下


2019/03/21 Thursday

00:18	新闻365
00:48	探秘天下
01:08	风云百年
01:36	探秘天下
02:30	新闻365
03:00	天天养生
04:00	导视
04:10	探秘天下
05:30	聚焦
06:00	风云百年
06:28	新闻365
06:59	新闻60分
08:00	河南新闻联播
08:30	探秘天下
10:00	天天养生
11:02	聚焦
11:30	探秘天下
11:59	新闻365
12:30	新闻60分
13:30	传承
13:46	探秘天下
14:10	风云百年
14:40	探秘天下
15:10	天天养生
16:12	探秘天下
16:42	风云百年
17:15	探秘天下
17:37	传承
18:55	聚焦
20:00	风云百年
21:00	新闻60分
22:35	传承
23:20	探秘天下


2019/03/22 Friday

00:18	新闻365
00:48	探秘天下
02:30	新闻365
03:00	天天养生
04:10	探秘天下
05:30	聚焦
06:00	探秘天下
06:28	新闻365
06:59	新闻60分
08:00	河南新闻联播
08:30	探秘天下
10:00	豫动起来
11:02	聚焦
11:30	探秘天下
11:59	新闻365
12:30	新闻60分
13:30	传承
13:46	探秘天下
15:10	天天养生
16:12	精彩回顾
17:15	探秘天下
17:53	天天养生
19:25	新闻365
20:30	河南新闻联播
22:01	新闻365
22:57	探秘天下


2019/03/23 Saturday

00:00	探秘天下
00:18	新闻365
00:48	探秘天下
02:30	新闻365
03:00	天天养生
04:10	探秘天下
05:30	聚焦
06:00	探秘天下
06:28	新闻365
06:59	新闻60分
08:00	河南新闻联播
08:30	探秘天下
10:00	豫动起来
11:02	聚焦
11:30	豫爱同行
11:59	新闻365
12:30	新闻60分
13:30	传承
13:46	探秘天下
15:10	天天养生
16:12	精彩回顾
17:15	探秘天下
17:53	天天养生
19:25	新闻365
20:30	河南新闻联播
22:01	新闻365
22:50	探秘天下


2019/03/24 Sunday

00:18	新闻365
00:48	探秘天下
02:30	新闻365
03:00	天天养生
04:10	探秘天下
05:30	聚焦
06:00	探秘天下
06:28	新闻365
06:59	新闻60分
08:00	河南新闻联播
08:30	探秘天下
10:00	豫动起来
11:02	聚焦
11:30	豫爱同行
11:59	新闻365
12:30	新闻60分
13:30	传承
13:46	探秘天下
15:10	天天养生
16:12	精彩回顾
17:37	天天养生
19:25	新闻365
20:30	河南新闻联播
22:01	新闻365
23:01	英超之夜


